Instance,Time(ms),Comparisons,Radius
1,21,1000991,133,0
2,5,1004269,117,0
3,13,1004254,102,0
4,10,1016633,92,0
5,22,1041521,61,0
6,42,8001979,91,0
7,44,8008755,78,0
8,125,8035631,63,0
9,97,8135637,51,0
10,136,8344491,29,0
11,52,27002991,68,0
12,89,27013277,68,0
13,251,27122113,47,0
14,416,27461127,36,0
15,700,28157320,23,0
16,110,64003980,51,0
17,234,64017780,44,0
18,662,64291642,39,0
19,1325,65096882,27,0
20,2539,66736512,18,0
21,262,125004998,44,0
22,400,125022274,46,0
23,1075,125572367,32,0
24,2954,127147185,22,0
25,8501,130392670,15,0
26,269,216005998,40,0
27,342,216026806,38,0
28,2380,216992146,25,0
29,6141,219715826,19,0
30,10493,225294517,13,0
31,294,343007003,34,0
32,582,343031279,32,0
33,3150,344578991,24,0
34,10194,348906735,16,0
35,464,512007991,33,0
36,698,512035764,32,0
37,6102,514360934,23,0
38,682,729008994,31,0
39,1080,729040266,27,0
40,17828,732366059,20,0
