Instance,Time(ms),Comparisons,Radius,SolutionType
1,24,1000991,133,0,2
2,11,1004269,117,0,2
3,35,1004254,102,0,2
4,25,1016633,92,0,2
5,37,1041521,61,0,2
6,40,8001979,91,0,2
7,24,8008755,78,0,2
8,90,8035631,63,0,2
9,100,8135637,51,0,2
10,256,8344491,29,0,2
11,41,27002991,68,0,2
12,67,27013277,68,0,2
13,170,27122113,47,0,2
14,327,27461127,36,0,2
15,2464,28157320,23,0,2
16,88,64003980,51,0,2
17,181,64017780,44,0,2
18,496,64291642,39,0,2
19,1022,65096882,27,0,2
20,1911,66736512,18,0,2
21,130,125004998,44,0,2
22,370,125022274,46,0,2
23,4250,125572367,32,0,2
24,2314,127147185,22,0,2
25,6956,130392670,15,0,2
26,196,216005998,40,0,2
27,226,216026806,38,0,2
28,1731,216992146,25,0,2
29,5093,219715826,19,0,2
30,10419,225294517,13,0,2
31,310,343007003,34,0,2
32,579,343031279,32,0,2
33,3326,344578991,24,0,2
34,11208,348906735,16,0,2
35,485,512007991,33,0,2
36,852,512035764,32,0,2
37,6667,514360934,23,0,2
38,815,729008994,31,0,2
39,933,729040266,27,0,2
40,13944,732366059,20,0,2
