Instance,Time(ms),Comparisons,Radius
1,8786,6177626880,127,0
2,60000,48204197570,111,0
3,60000,54653510960,102,0
4,60000,60782408580,92,0
5,60000,73243106278,61,0
6,60000,31233851000,84,0
7,60000,41630815390,78,0
8,60000,52604735980,63,0
9,60000,66856593920,51,0
10,60000,72287903979,29,0
11,60000,30434922035,60,0
12,60000,38423933130,60,0
13,60000,44107287270,47,0
14,60000,60054270060,36,0
15,60000,73089594000,23,0
16,60000,26409765450,48,0
17,60000,42581262240,44,0
18,60000,53688007960,39,0
19,60000,68990086080,27,0
20,60000,70912783859,18,0
21,60000,29476402945,42,0
22,60000,26434233360,45,0
23,60000,69054161750,32,0
24,60000,69959998800,22,0
25,60000,71209930923,15,0
26,60000,30388739440,39,0
27,60000,19131280400,38,0
28,60000,59309423280,25,0
29,60000,70460660880,19,0
30,60000,81492845000,13,0
31,60000,25038113705,32,0
32,60000,44490299760,32,0
33,60000,62287414700,24,0
34,60000,76850284000,16,0
35,60000,26488884215,31,0
36,60000,32763147500,32,0
37,60000,65944399760,23,0
38,60000,34156278190,31,0
39,60000,43017500530,27,0
40,60000,51746068440,20,0
