Instance,Time(ms),Comparisons,Radius,SolutionType
1,8519,6177626880,127,0,1
2,1800000,1554660479940,108,0,1
3,1800000,1583852784690,97,0,1
4,1800000,1688488822700,92,0,2
5,1800000,2132298151864,61,0,2
6,143483,83483659690,84,0,1
7,1800000,1468260983910,77,0,1
8,1800000,1470867977680,63,0,2
9,1800000,1133260327920,51,0,2
10,1800000,1623015357738,29,0,2
11,1800000,1045671469965,60,0,1
12,1800000,1473894343260,58,0,1
13,1800000,2083528688040,47,0,2
14,1800000,1952128565520,36,0,2
15,1800000,1833900851800,23,0,2
16,1800000,1119906708940,47,0,1
17,1800000,1469563311080,44,0,2
18,1800000,1843075090480,39,0,2
19,1800000,2266677183680,27,0,2
20,1800000,2333238823119,18,0,2
21,1800000,902458373285,40,0,2
22,1800000,218254444120,45,0,2
23,1800000,1759893105450,32,0,2
24,1800000,2241326711800,22,0,2
25,1800000,1950542880161,15,0,2
26,1800000,1037907275580,38,0,2
27,1800000,778142077340,37,0,2
28,1800000,1987191174240,25,0,2
29,1800000,2052157640160,19,0,2
30,1800000,2379272998000,13,0,2
31,1800000,792496411195,30,0,2
32,1800000,1245590186880,32,0,2
33,1800000,1827126630770,24,0,2
34,1800000,2259955260500,16,0,2
35,1800000,853885675190,30,0,2
36,1800000,978198297930,32,0,2
37,1800000,1923283336640,23,0,2
38,1800000,1014065275415,29,0,2
39,1800000,1368877850870,26,0,2
40,1800000,1680597431640,20,0,2
